Resort,GoogleMapsDirectionsURL
"Hidaka Kokusai Ski Area","https://www.google.com/maps/dir/?api=1&destination=Hidaka%20Kokusai%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Atsuta Village Ski Area","https://www.google.com/maps/dir/?api=1&destination=Atsuta%20Village%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Eniwa City Ski Area","https://www.google.com/maps/dir/?api=1&destination=Eniwa%20City%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Fu's Snow Area","https://www.google.com/maps/dir/?api=1&destination=Fu%27s%20Snow%20Area%2C%20Hokkaido%2C%20Japan"
"Hamamasu Village Ski Area","https://www.google.com/maps/dir/?api=1&destination=Hamamasu%20Village%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Ishikari Heigen Skiing Ground","https://www.google.com/maps/dir/?api=1&destination=Ishikari%20Heigen%20Skiing%20Ground%2C%20Hokkaido%2C%20Japan"
"Kōrakuen Kitahiroshima Ski Land","https://www.google.com/maps/dir/?api=1&destination=K%C5%8Drakuen%20Kitahiroshima%20Ski%20Land%2C%20Hokkaido%2C%20Japan"
"Sapporo Bankei Ski Area","https://www.google.com/maps/dir/?api=1&destination=Sapporo%20Bankei%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Sapporo Kitahiroshima Prince Family Ski Area","https://www.google.com/maps/dir/?api=1&destination=Sapporo%20Kitahiroshima%20Prince%20Family%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Sapporo Kokusai Ski Area","https://www.google.com/maps/dir/?api=1&destination=Sapporo%20Kokusai%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Sapporo Moiwayama Ski Area","https://www.google.com/maps/dir/?api=1&destination=Sapporo%20Moiwayama%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Sapporo Teine","https://www.google.com/maps/dir/?api=1&destination=Sapporo%20Teine%2C%20Hokkaido%2C%20Japan"
"Takino Snow World","https://www.google.com/maps/dir/?api=1&destination=Takino%20Snow%20World%2C%20Hokkaido%2C%20Japan"
"Asarigawa Onsen Ski Area","https://www.google.com/maps/dir/?api=1&destination=Asarigawa%20Onsen%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Furubira Kazoku Ryokōmura Ski Area","https://www.google.com/maps/dir/?api=1&destination=Furubira%20Kazoku%20Ryok%C5%8Dmura%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Kiroro Snow World","https://www.google.com/maps/dir/?api=1&destination=Kiroro%20Snow%20World%2C%20Hokkaido%2C%20Japan"
"Kutchan Town Asahigaoka Ski Area","https://www.google.com/maps/dir/?api=1&destination=Kutchan%20Town%20Asahigaoka%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Nakayamatōge Ski Area","https://www.google.com/maps/dir/?api=1&destination=Nakayamat%C5%8Dge%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Niki Town Ski Area","https://www.google.com/maps/dir/?api=1&destination=Niki%20Town%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Niseko Annupuri International Ski Resort","https://www.google.com/maps/dir/?api=1&destination=Niseko%20Annupuri%20International%20Ski%20Resort%2C%20Hokkaido%2C%20Japan"
"Niseko Higashiyama Ski Resort (Niseko Village)","https://www.google.com/maps/dir/?api=1&destination=Niseko%20Higashiyama%20Ski%20Resort%20%28Niseko%20Village%29%2C%20Hokkaido%2C%20Japan"
"Niseko Moiwa Ski Area","https://www.google.com/maps/dir/?api=1&destination=Niseko%20Moiwa%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Niseko Mt. Resort Grand Hirafu","https://www.google.com/maps/dir/?api=1&destination=Niseko%20Mt.%20Resort%20Grand%20Hirafu%2C%20Hokkaido%2C%20Japan"
"Niseko Hanazono Resort","https://www.google.com/maps/dir/?api=1&destination=Niseko%20Hanazono%20Resort%2C%20Hokkaido%2C%20Japan"
"Niseko United","https://www.google.com/maps/dir/?api=1&destination=Niseko%20United%2C%20Hokkaido%2C%20Japan"
"Niseko Weiss Ski Area","https://www.google.com/maps/dir/?api=1&destination=Niseko%20Weiss%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Otaru Tenguyama Ski Area","https://www.google.com/maps/dir/?api=1&destination=Otaru%20Tenguyama%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Rankoshi Town Chisenupuri Ski Area","https://www.google.com/maps/dir/?api=1&destination=Rankoshi%20Town%20Chisenupuri%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Rusutsu Resort","https://www.google.com/maps/dir/?api=1&destination=Rusutsu%20Resort%2C%20Hokkaido%2C%20Japan"
"Shakotan Town Outdoor Sports Forest Ski Area","https://www.google.com/maps/dir/?api=1&destination=Shakotan%20Town%20Outdoor%20Sports%20Forest%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
